Core Competency,Sub-Competency,Facet Name
Communication,Communicating,Connecting and engaging with others
Communication,Communicating,Focusing on intent and purpose
Communication,Communicating,Acquiring and presenting information
Communication,Collaborating,Working collectively
Communication,Collaborating,Supporting group interactions
Communication,Collaborating,Determining common purposes
Thinking,Creative Thinking,Creating and innovating
Thinking,Creative Thinking,Generating and incubating
Thinking,Creative Thinking,Evaluating and developing
Thinking,Critical & Reflective Thinking,Analyzing and critiquing
Thinking,Critical & Reflective Thinking,Questioning and investigating
Thinking,Critical & Reflective Thinking,Designing and developing
Thinking,Critical & Reflective Thinking,Reflecting and assessing
Personal & Social,Personal Awareness & Responsibility,Self-determination
Personal & Social,Personal Awareness & Responsibility,Self-regulation
Personal & Social,Personal Awareness & Responsibility,Well-being
Personal & Social,Positive Personal & Cultural Identity,Relationships and cultural contexts
Personal & Social,Positive Personal & Cultural Identity,Personal values and choices
Personal & Social,Positive Personal & Cultural Identity,Personal strengths and abilities
Personal & Social,Social Awareness & Responsibility,Contributing to community and caring for the environment
Personal & Social,Social Awareness & Responsibility,Solving problems in peaceful ways
Personal & Social,Social Awareness & Responsibility,Valuing diversity and empathizing with others