Core Competency,Sub-Competency,Facet Name,Example Context
Communication,Communicating,Connecting and engaging,Programming/CLE
Communication,Communicating,Focusing on intent and purpose,CLE
Communication,Communicating,Acquiring and presenting information,Band/Programming
Communication,Collaborating,Working collectively,Band
Communication,Collaborating,Supporting group interactions,Programming
Communication,Collaborating,Determining common purposes,CLE
Thinking,Creative Thinking,Creating and innovating,Programming
Thinking,Creative Thinking,Generating and incubating,Band
Thinking,Creative Thinking,Evaluating and developing,Programming
Thinking,Critical & Reflective Thinking,Analyzing and critiquing,CLE
Thinking,Critical & Reflective Thinking,Questioning and investigating,Programming
Thinking,Critical & Reflective Thinking,Designing and developing,Band
Thinking,Critical & Reflective Thinking,Reflecting and assessing,CLE/Programming
Personal & Social,Personal Awareness & Responsibility,Self-determination,Band/Programming
Personal & Social,Personal Awareness & Responsibility,Self-regulation,Band/Programming
Personal & Social,Positive Personal & Cultural Identity,Relationships,CLE/Band
Personal & Social,Positive Personal & Cultural Identity,Values,CLE/Band
Personal & Social,Positive Personal & Cultural Identity,Strengths,CLE/Band
Personal & Social,Social Awareness & Responsibility,Community,Band/Programming
Personal & Social,Social Awareness & Responsibility,Problem Solving,Band/Programming
Personal & Social,Social Awareness & Responsibility,Diversity,Band/Programming